"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/21/2012","Guitar Center","Withdrawal Debit Card GUITAR CENWithdrawal Debit Card GUITAR CENTER #111 SAN MARCOS CA Date 12/19/12 0      2354461165     1 5733","20.00","debit","Music","ECHECKING 7688","",""
"12/21/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/20/12 0      2355169867     1 5814","7.47","debit","Business Meals","ECHECKING 7688","",""
"12/21/2012","Sur La Table","Withdrawal Debit Card SUR LA TABWithdrawal Debit Card SUR LA TABLE CARLSBAD CARLSBAD CA Date 12/19/12 0      2354459765     1 5719","21.50","debit","Furnishings","ECHECKING 7688","",""
"12/21/2012","Deposit Benjamin Powers","Deposit BENJAMIN POWERS TYPE: 3CDeposit BENJAMIN POWERS TYPE: 3CZE  ID: 1364350777 CO: BENJAMIN POWERS","1449.79","credit","Paycheck","ECHECKING 7688","",""
"12/20/2012","Nissan","Withdrawal NISSAN MOTOR ACC TYPEWithdrawal NISSAN MOTOR ACC TYPE: BILL PAY  ID: 9536803862 CO: NISSAN MOTOR ACC","519.00","debit","Auto Payment","ECHECKING 7688","",""
"12/20/2012","Withdrawal Billmatrix Type","Withdrawal BILLMATRIX TYPE: BILLWithdrawal BILLMATRIX TYPE: BILL PAY  ID: 9009316102 CO: BILLMATRIX","5.00","debit","Auto Payment","ECHECKING 7688","",""
"12/20/2012","Exxon","Withdrawal Debit Card EXXONMOBILWithdrawal Debit Card EXXONMOBIL 97628325 OCEANSIDE CA Date 12/19/12 0      2354105213     1 5542","55.15","debit","Gas & Fuel","ECHECKING 7688","",""
"12/20/2012","Carl's Jr","Withdrawal Debit Card CARL'S JRWithdrawal Debit Card CARL'S JR #7436 Q32 ESCONDIDO CA Date 12/19/12 0      2354099584     1 5814","12.57","debit","Fast Food","ECHECKING 7688","",""
"12/20/2012","Withdrawal Discover Type","Withdrawal DISCOVER TYPE: E-PAYMWithdrawal DISCOVER TYPE: E-PAYMENT  ID: 2510020270 CO: DISCOVER","21.59","debit","Credit Card Payment","ECHECKING 7688","",""
"12/19/2012","Panera Bread","Withdrawal Debit Card PANERA BREWithdrawal Debit Card PANERA BREAD #4278 VISTA CA Date 12/17/12 0      2352534252     1 5814","30.69","debit","Fast Food","ECHECKING 7688","",""
"12/19/2012","Withdrawal Little Cakwithdrawal","Withdrawal Debit Card LITTLE CAKWithdrawal Debit Card LITTLE CAKES CUPCAKE K VISTA CA Date 12/17/12 0      2352279398     1 5462","8.98","debit","Food & Dining","ECHECKING 7688","",""
"12/19/2012","Target","Withdrawal Debit Card TARGET 000Withdrawal Debit Card TARGET 00003038 OCEANSIDE CA Date 12/18/12 0      2353525766     1 5411","19.91","debit","Home Supplies","ECHECKING 7688","",""
"12/19/2012","Withdrawal Strwithdrawal Str","Withdrawal POS #000000935977 STRWithdrawal POS #000000935977 STR BARONS MARKET 11828 RANCHO BERNA SAN DIEGO CA","19.96","debit","Groceries","ECHECKING 7688","",""
"12/19/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/18/12 0      2353182559     1 5814","1.61","debit","Business Meals","ECHECKING 7688","",""
"12/19/2012","Withdrawal Little Cakwithdrawal","Withdrawal Debit Card LITTLE CAKWithdrawal Debit Card LITTLE CAKES CUPCAKE K VISTA CA Date 12/17/12 0      2352279399     1 5462","3.32","debit","Food & Dining","ECHECKING 7688","",""
"12/19/2012","REI","Withdrawal POS #000000007174 STRWithdrawal POS #000000007174 STR REI #90 1590 Leucadia Blvd ENCINITAS CA","21.50","debit","Sporting Goods","ECHECKING 7688","",""
"12/18/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/17/12 0      2352156557     1 5814","1.28","debit","Business Meals","ECHECKING 7688","",""
"12/18/2012","Deposit Benjamin Powers","Deposit BENJAMIN POWERS TYPE: 3CDeposit BENJAMIN POWERS TYPE: 3CZE  ID: 1364350777 CO: BENJAMIN POWERS","1449.79","credit","Paycheck","ECHECKING 7688","",""
"12/18/2012","Wal-Mart","Withdrawal POS #000061857655 STRWithdrawal POS #000061857655 STR Wal-Mart Store 2245 WAL-SAMS OCEANSIDE CA","141.28","debit","Home Supplies","ECHECKING 7688","",""
"12/18/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/17/12 0      2352156563     1 5814","1.67","debit","Business Meals","ECHECKING 7688","",""
"12/18/2012","Withdrawal Squarespacwithdrawal Squarespace","Withdrawal Debit Card SQUARESPACWithdrawal Debit Card SQUARESPACE INC NEW YORK NY Date 12/17/12 0      2352693579     0 7372","20.00","debit","Web Hosting","ECHECKING 7688","",""
"12/17/2012","Pita Stop","Withdrawal Debit Card THE PIT STWithdrawal Debit Card THE PIT STOP - OCEANSI OCEANSIDE CA Date 12/14/12 0      2349082358     1 5812","3.07","debit","Fast Food","ECHECKING 7688","",""
"12/17/2012","Little Caesars","Withdrawal Debit Card LITTLE CAEWithdrawal Debit Card LITTLE CAESARS 1069 00 OCEANSIDE CA Date 12/16/12 0      2351825036     0 5814","23.68","debit","Restaurants","ECHECKING 7688","",""
"12/16/2012","Chick-Fil-A","Withdrawal Debit Card CHICK-FIL-Withdrawal Debit Card CHICK-FIL-A #01507 OCEANSIDE CA Date 12/13/12 0      2348559800     1 5814","10.83","debit","Fast Food","ECHECKING 7688","",""
"12/16/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/14/12 0      2349224716     1 5814","1.28","debit","Business Meals","ECHECKING 7688","",""
"12/16/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/14/12 0      2349224726     1 5814","1.67","debit","Business Meals","ECHECKING 7688","",""
"12/16/2012","Panera Bread","Withdrawal Debit Card PANERA BREWithdrawal Debit Card PANERA BREAD #4278 VISTA CA Date 12/13/12 0      2348560970     1 5814","1.79","debit","Fast Food","ECHECKING 7688","",""
"12/16/2012","Tilly's","Withdrawal POS #000050001020 STRWithdrawal POS #000050001020 STR TILLYS 2641 VISTA WAY OCEANSIDE CA","23.69","debit","Clothing","ECHECKING 7688","",""
"12/16/2012","McDonald's","Withdrawal Debit Card MCDONALD'SWithdrawal Debit Card MCDONALD'S F18488 CARLSBAD CA Date 12/14/12 0      2349229575     1 5814","5.04","debit","Fast Food","ECHECKING 7688","",""
"12/16/2012","Withdrawal Squarespacwithdrawal Squarespace","Withdrawal Debit Card SQUARESPACWithdrawal Debit Card SQUARESPACE INC NEW YORK NY Date 12/14/12 0      2349564269     1 7372","0.67","debit","Web Hosting","ECHECKING 7688","",""
"12/15/2012","Stater Brothers","Withdrawal POS #000000002427 STRWithdrawal POS #000000002427 STR STATERBROS186 2687 GATEWAY RD. CARLSBAD CA","21.19","debit","Groceries","ECHECKING 7688","",""
"12/14/2012","Ann Taylor","Withdrawal POS #000009772602 STRWithdrawal POS #000009772602 STR ANN TAYLOR #842 2525 EL CAMINO REA CARLSBAD CA","26.94","debit","Clothing","ECHECKING 7688","",""
"12/14/2012","Withdrawal Withdrawal Date","Withdrawal Debit Card 76 1010355Withdrawal Debit Card 76 10103554 VISTA CA Date 12/13/12 0      2348374870     1 5542","67.57","debit","Gas & Fuel","ECHECKING 7688","",""
"12/13/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/12/12 0      2347055370     1 5814","1.28","debit","Business Meals","ECHECKING 7688","",""
"12/13/2012","McDonald's","Withdrawal Debit Card MCDONALD'SWithdrawal Debit Card MCDONALD'S F26763 OCEANSIDE CA Date 12/11/12 0      2346320567     1 5814","5.69","debit","Fast Food","ECHECKING 7688","",""
"12/12/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/11/12 0      2346035170     1 5814","3.54","debit","Business Meals","ECHECKING 7688","",""
"12/12/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/11/12 0      2346035171     1 5814","7.74","debit","Business Meals","ECHECKING 7688","",""
"12/11/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/10/12 0      2345084771     1 5814","1.67","debit","Business Meals","ECHECKING 7688","",""
"12/11/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/10/12 0      2345084772     1 5814","1.28","debit","Business Meals","ECHECKING 7688","",""
"12/11/2012","IHOP","Withdrawal Debit Card IHOP 3215Withdrawal Debit Card IHOP 3215 OCEANSIDE CA Date 12/09/12 0      2344215660     1 5812","48.00","debit","Restaurants","ECHECKING 7688","",""
"12/11/2012","Ralphs","Withdrawal POS #000000003847 STRWithdrawal POS #000000003847 STR RALPHS 101 OLD GROVE RD. OCEANSIDE CA","48.04","debit","Groceries","ECHECKING 7688","",""
"12/11/2012","Wal-Mart","Withdrawal POS #000000011933 STRWithdrawal POS #000000011933 STR WAL-MART #2245 705 COLLEGE BLVD OCEANSIDE CA","146.64","debit","Home Supplies","ECHECKING 7688","",""
"12/10/2012","AT&T","Withdrawal ATT TYPE: Payment  IDWithdrawal ATT TYPE: Payment  ID: 9864031005  CO: ATT","128.45","debit","Business Telephone","ECHECKING 7688","",""
"12/10/2012","Withdrawal Calvary Chapel","Withdrawal CALVARY CHAPEL O TYPEWithdrawal CALVARY CHAPEL O TYPE: DIRECT PAY  ID: 1330179300 CO: CALVARY CHAPEL O","600.00","debit","Tithe","ECHECKING 7688","",""
"12/10/2012","Draft","Draft 0007780016095991 ProcessedDraft 0007780016095991 Processed Check - WFHM MORTGAGE TYPE: CHECKPAYMT  ID: 2936829714","2636.10","debit","Mortgage & Rent","ECHECKING 7688","",""
"12/10/2012","Withdrawal Daniels Bowithdrawal","Withdrawal Debit Card DANIELS BOWithdrawal Debit Card DANIELS BONSALL MARKET BONSALL CA Date 12/08/12 0      2343034386     5 5411","3.49","debit","Groceries","ECHECKING 7688","",""
"12/10/2012","Check 779991005","Draft 000779991005869","350.00","debit","Check","ECHECKING 7688","",""
"12/10/2012","San Diego Gas And Electric","Withdrawal SD GAS ELEC TYPE: PAIWithdrawal SD GAS ELEC TYPE: PAID SDGE  ID: 5951184800 CO: SD GAS ELEC","179.84","debit","Utilities","ECHECKING 7688","",""
"12/10/2012","Withdrawal Oside Onliwithdrawal","Withdrawal Debit Card OSIDE ONLIWithdrawal Debit Card OSIDE ONLINE UTILITY B 760-4353550 CA Date 12/08/12 0      2343027198     5 4900","209.27","debit","Utilities","ECHECKING 7688","",""
"12/10/2012","AT&T","Withdrawal ATT TYPE: Payment  IDWithdrawal ATT TYPE: Payment  ID: 9864031005  CO: ATT","193.18","debit","Business Telephone","ECHECKING 7688","",""
"12/09/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/07/12 0      2342094633     1 5814","6.76","debit","Business Meals","ECHECKING 7688","",""
"12/09/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/07/12 0      2342094635     1 5814","2.89","debit","Business Meals","ECHECKING 7688","",""
"12/09/2012","Goodwill Industries","Withdrawal Debit Card GOODWILL IWithdrawal Debit Card GOODWILL INDUSTRIES 18 OCEANSIDE CA Date 12/07/12 0      2342339510     1 5931","6.97","debit","Shopping","ECHECKING 7688","",""
"12/08/2012","7-Eleven","Withdrawal POS #000000956891 STRWithdrawal POS #000000956891 STR 7-ELEVEN 1089 CARLSBAD VILL CARLSBAD CA","59.30","debit","Gas & Fuel","ECHECKING 7688","",""
"12/07/2012","Bates Nut Farm","Withdrawal ATM Fee AFN BATES NUTWithdrawal ATM Fee AFN BATES NUT FARM 15954 WOOD VALLEY VALLEY CENTER CA","1.50","debit","Food & Dining","ECHECKING 7688","",""
"12/07/2012","Wal-Mart","Withdrawal POS #000000779734 STRWithdrawal POS #000000779734 STR WAL-MART #2245 705 COLLEGE BLVD OCEANSIDE CA","22.91","debit","Home Supplies","ECHECKING 7688","",""
"12/07/2012","Transfer from SAVINGS","Deposit Home Banking Transfer FrDeposit Home Banking Transfer From Share 01","1000.00","credit","Transfer","ECHECKING 7688","",""
"12/07/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/06/12 0      2341015664     1 5814","1.28","debit","Business Meals","ECHECKING 7688","",""
"12/07/2012","Bates Nut Farm","Withdrawal at ATM #000000071293Withdrawal at ATM #000000071293 AFN BATES NUT FARM 15954 WOOD VALLEY VALLEY CENTER CA","42.50","debit","Food & Dining","ECHECKING 7688","",""
"12/07/2012","Software","Withdrawal BOLTON SOFTWARE CO: BWithdrawal BOLTON SOFTWARE CO: BOLTON SOFTWARE LTD. TYPE: IAT PAYPAL  ID: 770510487C","10.00","debit","Electronics & Software","ECHECKING 7688","",""
"12/07/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/06/12 0      2341015667     1 5814","1.67","debit","Business Meals","ECHECKING 7688","",""
"12/06/2012","Wal-Mart","Withdrawal POS #000086802713 STRWithdrawal POS #000086802713 STR Wal-Mart Store 2245 WAL-SAMS OCEANSIDE CA","125.23","debit","Home Supplies","ECHECKING 7688","",""
"12/06/2012","Amazon","Withdrawal Debit Card AMAZON WEBWithdrawal Debit Card AMAZON WEB SERVICES AWS.AMAZON.C WA Date 12/05/12 0      2340244710     1 7399","20.18","debit","Web Hosting","ECHECKING 7688","",""
"12/06/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 12/05/12 0      2340865704     0 5814","4.08","debit","Business Meals","ECHECKING 7688","",""
"12/06/2012","Withdrawal Color Nailwithdrawal","Withdrawal Debit Card COLOR NAILWithdrawal Debit Card COLOR NAILS AND SPA CARLSBAD CA Date 12/05/12 0      2340873287     0 7230","27.00","debit","Spa & Massage","ECHECKING 7688","",""
"12/06/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/05/12 0      2340865708     0 5814","3.28","debit","Business Meals","ECHECKING 7688","",""
"12/05/2012","Macy's","Withdrawal POS #000000689809 MACWithdrawal POS #000000689809 MACY'S 54 2559 EL CAMINO RL CARLSBAD CA","31.79","debit","Clothing","ECHECKING 7688","",""
"12/05/2012","Withdrawal Coffee Beawithdrawal","Withdrawal Debit Card COFFEE BEAWithdrawal Debit Card COFFEE BEAN STORE SAN DIEGO CA Date 12/03/12 0      2338242018     1 5812","1.75","debit","Coffee Shops","ECHECKING 7688","",""
"12/05/2012","Target","Withdrawal Debit Card TARGET 000Withdrawal Debit Card TARGET 00003038 OCEANSIDE CA Date 12/04/12 0      2339483610     0 5411","36.41","debit","Home Supplies","ECHECKING 7688","",""
"12/05/2012","ADT Security","Withdrawal ADT Security TYPE: PAWithdrawal ADT Security TYPE: PAYMENT  ID: 4851136515 CO: ADT Security","47.99","debit","Home Supplies","ECHECKING 7688","",""
"12/05/2012","Trader Joe's","Withdrawal Debit Card TRADER JOEWithdrawal Debit Card TRADER JOE'S #022 QPS OCEANSIDE CA Date 12/04/12 0      2339000032     1 5411","27.12","debit","Groceries","ECHECKING 7688","",""
"12/05/2012","Crate & Barrel","Withdrawal POS #000001571086 STRWithdrawal POS #000001571086 STR CRATE & BARREL 5600 PASEO DEL NOR CARLSBAD CA","9.64","debit","Furnishings","ECHECKING 7688","",""
"12/05/2012","Withdrawal Strwithdrawal Str","Withdrawal POS #000000077448 STRWithdrawal POS #000000077448 STR WESTMART 4990 AVENIDA ENCIN CARLSBAD CA","49.16","debit","Home Supplies","ECHECKING 7688","",""
"12/05/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/04/12 0      2339994511     0 5814","3.72","debit","Business Meals","ECHECKING 7688","",""
"12/05/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/04/12 0      2339994510     0 5814","1.67","debit","Business Meals","ECHECKING 7688","",""
"12/04/2012","Chipotle","Withdrawal Debit Card CHIPOTLE 1Withdrawal Debit Card CHIPOTLE 1692 SAN DIEGO CA Date 12/03/12 0      2338043064     1 5814","8.46","debit","Fast Food","ECHECKING 7688","",""
"12/04/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/03/12 0      2338033522     1 5814","1.94","debit","Business Meals","ECHECKING 7688","",""
"12/04/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 12/03/12 0      2338033523     1 5814","1.67","debit","Business Meals","ECHECKING 7688","",""
"12/04/2012","Withdrawal Iblp Embwithdrawal","Withdrawal Debit Card IBLP - EMBWithdrawal Debit Card IBLP - EMBASSY INSTITU HINSDALE IL Date 12/02/12 0      2337122274     1 8398","9.00","debit","Education","ECHECKING 7688","",""
"12/04/2012","Withdrawal Discover Type","Withdrawal DISCOVER TYPE: E-PAYMWithdrawal DISCOVER TYPE: E-PAYMENT  ID: 2510020270 CO: DISCOVER","3426.38","debit","Credit Card Payment","ECHECKING 7688","",""
"12/03/2012","Arco","Withdrawal Debit Card ARCO AVERYWithdrawal Debit Card ARCO AVERY ENT SAN JUAN CAP CA Date 11/30/12 0      2335200978     5 5542","59.07","debit","Gas & Fuel","ECHECKING 7688","",""
"12/03/2012","Transfer from BUSINESS SAVINGS","Deposit Transfer From BENJAMIN PDeposit Transfer From BENJAMIN POWERS xxxxxxxxxx Share 01","3000.00","credit","Profit Distribution","ECHECKING 7688","",""
"12/03/2012","Withdrawal Amie Colwithdrawal","Withdrawal Debit Card AMIE'S COLWithdrawal Debit Card AMIE'S COLLECTIONS AND CARLSBAD CA Date 12/01/12 0      2336970125     0 5947","59.50","debit","Home Supplies","ECHECKING 7688","",""
"12/03/2012","Transfer from BUS STANDARD CHECKING 6176","Deposit Transfer From BENJAMIN PDeposit Transfer From BENJAMIN POWERS xxxxxxxxxx Share 09","4000.00","credit","Profit Distribution","ECHECKING 7688","",""
"12/02/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 11/30/12 0      2335160423     1 5814","1.94","debit","Business Meals","ECHECKING 7688","",""
"12/02/2012","Withdrawal Top Notchwithdrawal","Withdrawal Debit Card TOP NOTCHWithdrawal Debit Card TOP NOTCH SALON MISSION VIEJ CA Date 11/30/12 0      2335167768     1 7230","150.00","debit","Personal Care","ECHECKING 7688","",""
"12/02/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 11/30/12 0      2335160422     1 5814","7.74","debit","Business Meals","ECHECKING 7688","",""
"12/02/2012","Target","Withdrawal Debit Card TARGET 000Withdrawal Debit Card TARGET 00003038 OCEANSIDE CA Date 11/30/12 0      2335521949     1 5411","47.91","debit","Home Supplies","ECHECKING 7688","",""
"12/02/2012","Starbucks","Withdrawal Debit Card STARBUCKSWithdrawal Debit Card STARBUCKS #11831 MISSI MISSION VIEJ CA Date 11/30/12 0      2335525958     1 5814","5.00","debit","Coffee Shops","ECHECKING 7688","",""
"12/02/2012","Home Depot","Withdrawal POS #000002576201 STRWithdrawal POS #000002576201 STR THE HOME DEPOT 1018 5755 MISSION AVE OCEANSIDE CA","28.26","debit","Home Improvement","ECHECKING 7688","",""
"12/01/2012","Albertsons","Withdrawal POS #000000424815 STRWithdrawal POS #000000424815 STR #06740 ALBERTSONS 4150 OCEANSIDE BLV OCEANSIDE CA","21.34","debit","Groceries","ECHECKING 7688","",""
"12/01/2012","Withdrawal Transfer Loan","Withdrawal Transfer To Loan 51","467.84","debit","Auto Payment","ECHECKING 7688","",""
"11/30/2012","Withdrawal Sonyesprsswithdrawal Sonyesprsso","Withdrawal Debit Card SONYESPRSSWithdrawal Debit Card SONYESPRSSO3RD11213121 SAN DIEGO CA Date 11/29/12 0      2334986823     0 5814","4.36","debit","Business Meals","ECHECKING 7688","",""
"11/30/2012","Hertz","Withdrawal Debit Card HERTZ RENTWithdrawal Debit Card HERTZ RENT-A-CAR OCEANSIDE CA Date 11/29/12 0      2334422783     0 3357","30.00","debit","Rental Car & Taxi","ECHECKING 7688","",""
"11/30/2012","Starbucks","Withdrawal Debit Card STARBUCKSWithdrawal Debit Card STARBUCKS #14792 SAN D SAN DIEGO CA Date 11/29/12 0      2334211436     1 5814","7.30","debit","Coffee Shops","ECHECKING 7688","",""
"11/30/2012","Sony","Withdrawal Debit Card SONY CAFEWithdrawal Debit Card SONY CAFE 11213147 SAN DIEGO CA Date 11/29/12 0      2334986819     0 5814","4.50","debit","Business Meals","ECHECKING 7688","",""
"11/30/2012","Chick-Fil-A","Withdrawal Debit Card CHICK-FIL-Withdrawal Debit Card CHICK-FIL-A #01507 OCEANSIDE CA Date 11/28/12 0      2333418416     1 5814","12.43","debit","Fast Food","ECHECKING 7688","",""
